label,image,size,success,min_length,your_length,score,path_image
random_images,random_mazes\101-1009470914.png,101,1,386,386,30.0,random_maze_solutions\paths\101-1009470914_path.bmp
random_images,random_mazes\101-1041922340.png,101,1,328,328,30.0,random_maze_solutions\paths\101-1041922340_path.bmp
random_images,random_mazes\101-1070506102.png,101,1,544,544,30.0,random_maze_solutions\paths\101-1070506102_path.bmp
random_images,random_mazes\101-1373139410.png,101,1,524,524,30.0,random_maze_solutions\paths\101-1373139410_path.bmp
random_images,random_mazes\101-1469895653.png,101,1,398,398,30.0,random_maze_solutions\paths\101-1469895653_path.bmp
random_images,random_mazes\101-1795572282.png,101,1,382,382,30.0,random_maze_solutions\paths\101-1795572282_path.bmp
random_images,random_mazes\101-1842306711.png,101,1,526,526,30.0,random_maze_solutions\paths\101-1842306711_path.bmp
random_images,random_mazes\101-1944367744.png,101,1,432,432,30.0,random_maze_solutions\paths\101-1944367744_path.bmp
random_images,random_mazes\101-24801137.png,101,1,664,664,30.0,random_maze_solutions\paths\101-24801137_path.bmp
random_images,random_mazes\101-325302735.png,101,1,322,322,30.0,random_maze_solutions\paths\101-325302735_path.bmp
random_images,random_mazes\31-1553060734.png,31,1,286,286,5.0,random_maze_solutions\paths\31-1553060734_path.bmp
random_images,random_mazes\31-1591634159.png,31,1,90,90,5.0,random_maze_solutions\paths\31-1591634159_path.bmp
random_images,random_mazes\31-1840414142.png,31,1,70,70,5.0,random_maze_solutions\paths\31-1840414142_path.bmp
random_images,random_mazes\31-2128185535.png,31,1,120,120,5.0,random_maze_solutions\paths\31-2128185535_path.bmp
random_images,random_mazes\31-275147661.png,31,1,86,86,5.0,random_maze_solutions\paths\31-275147661_path.bmp
random_images,random_mazes\31-318263635.png,31,1,74,74,5.0,random_maze_solutions\paths\31-318263635_path.bmp
random_images,random_mazes\31-42067133.png,31,1,70,70,5.0,random_maze_solutions\paths\31-42067133_path.bmp
random_images,random_mazes\31-439249069.png,31,1,74,74,5.0,random_maze_solutions\paths\31-439249069_path.bmp
random_images,random_mazes\31-73389670.png,31,1,122,122,5.0,random_maze_solutions\paths\31-73389670_path.bmp
random_images,random_mazes\31-751668311.png,31,1,136,136,5.0,random_maze_solutions\paths\31-751668311_path.bmp
random_images,random_mazes\31-772989631.png,31,1,80,80,5.0,random_maze_solutions\paths\31-772989631_path.bmp
random_images,random_mazes\31-981173244.png,31,1,108,108,5.0,random_maze_solutions\paths\31-981173244_path.bmp
random_images,random_mazes\71-1224153330.png,71,1,214,214,20.0,random_maze_solutions\paths\71-1224153330_path.bmp
random_images,random_mazes\71-1462197083.png,71,1,222,222,20.0,random_maze_solutions\paths\71-1462197083_path.bmp
random_images,random_mazes\71-17008530.png,71,1,248,248,20.0,random_maze_solutions\paths\71-17008530_path.bmp
random_images,random_mazes\71-243541231.png,71,1,190,190,20.0,random_maze_solutions\paths\71-243541231_path.bmp
random_images,random_mazes\71-291335245.png,71,1,436,436,20.0,random_maze_solutions\paths\71-291335245_path.bmp
random_images,random_mazes\71-380416546.png,71,1,356,356,20.0,random_maze_solutions\paths\71-380416546_path.bmp
random_images,random_mazes\71-526430450.png,71,1,256,256,20.0,random_maze_solutions\paths\71-526430450_path.bmp
random_images,random_mazes\71-894864710.png,71,1,340,340,20.0,random_maze_solutions\paths\71-894864710_path.bmp
